Elapsed Time,Absolute x coordinate,Absolute y coordinate,eyeGazePdfUpperRect.x,eyeGazePdfUpperRect.y,eyeGazePdfUpperRect.height,eyeGazePdfUpperRect.width,eyeGazePdfLowerRect.x,eyeGazePdfLowerRect.y,eyeGazePdfLowerRect.height,eyeGazePdfLowerRect.width,upper page number,lower page number
0,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
160,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
320,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
480,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
640,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
800,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
960,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
1120,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
1280,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
1440,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
1600,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
1760,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
1920,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
2080,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
2240,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
2400,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
2560,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
2720,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
2880,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
3040,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
3200,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
3360,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
3520,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
3680,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
3840,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
4000,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
4160,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
4320,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
4480,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
4640,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
4800,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
4960,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
5120,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
5280,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
5440,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
5600,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
5760,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
5920,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
6080,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
6240,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
6400,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
6560,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
6720,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
6880,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
7040,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
7200,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
7360,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
7520,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
7680,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
7840,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
8000,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
8160,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
8320,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
8480,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
8640,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
8800,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
8960,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
9120,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
9280,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
9440,960,192.5625,446.5,0,385.125,1027,446.5,641.875,385.125,1027,1,2
9600,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
9760,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
9920,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
10080,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
10240,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
10400,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
10560,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
10720,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
10880,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
11040,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
11200,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
11360,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
11520,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
11680,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
11840,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
12000,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
12160,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
12320,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
12480,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
12640,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
12800,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
12960,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
13120,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
13280,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
13440,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
13600,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
13760,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
13920,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
14080,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
14240,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
14400,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
14560,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
14720,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
14880,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
15040,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
15200,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
15360,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
15520,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
15680,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
15840,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
16000,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
16160,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
16320,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
16480,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
16640,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
16800,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
16960,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
17120,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
17280,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
17440,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
17600,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
17760,960,834.4375,446.5,0,385.125,1027,446.5,641.875,385.125,1027,3,2
