Elapsed Time,Absolute x coordinate,Absolute y coordinate,eyeGazePdfUpperRect.x,eyeGazePdfUpperRect.y,eyeGazePdfUpperRect.height,eyeGazePdfUpperRect.width,eyeGazePdfLowerRect.x,eyeGazePdfLowerRect.y,eyeGazePdfLowerRect.height,eyeGazePdfLowerRect.width,upper page number,lower page number
33465.51000000909,1004,795,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33531.205000006594,1493,646,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33581.47999999346,1440,497,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33647.90999999968,1358,463,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33714.62000004249,1211,454,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33781.8650000263,1249,386,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33848.31500001019,1292,412,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33915.25000002002,1120,393,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
33981.2099999981,1430,380,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34047.88500000723,1941,118,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34116.024999995716,1787,84,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34176.74000002444,1850,156,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34225.44000000926,1853,179,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34275.23000002839,1856,158,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34317.44499999331,1949,157,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34364.78500004159,1704,180,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34425.29500002274,1650,241,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34467.88499999093,1698,237,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34513.46500002546,1786,212,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34555.815000028815,1656,212,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34588.27000000747,1851,188,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34625.46000001021,1778,147,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34657.99000003608,1792,124,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34690.18999999389,1678,114,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34732.17500001192,1713,230,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34767.41500000935,1711,218,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34798.24000003282,1896,172,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34831.14000002388,1739,138,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34870.72000000626,1865,139,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34905.49000003375,1394,223,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34939.65499999467,948,250,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
34981.36999999406,1238,292,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35047.88000002736,1108,237,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35098.49000000395,987,263,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35150.62999998918,1359,224,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35209.6550000133,1750,170,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35266.4400000358,1639,202,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35315.485000028275,1573,203,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35368.4699999867,1634,165,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35440.57000003522,1722,148,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35502.535000036005,1733,136,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35582.12500001537,1400,211,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35631.3300000038,1706,119,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35698.18000000669,1814,-39,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35764.480000012554,1953,89,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35831.334999995306,2025,89,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,6
35898.06500001578,1931,70,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
35964.57000001101,1658,230,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36031.47500002524,1632,177,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36097.36499999417,1659,138,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36170.68999999901,925,476,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36253.17500001984,1121,615,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36318.97000002209,1041,502,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36381.58500002464,1057,636,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36451.404999999795,1206,595,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36497.789999993984,1206,580,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36547.354999987874,661,506,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36598.27499999665,667,412,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36652.58500003256,768,371,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36731.09000001568,317,578,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36781.14999999525,381,576,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36852.8449999867,499,494,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36898.65500002634,1047,507,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
36965.305000019725,567,648,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37022.34500000486,1057,897,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37057.040000043344,890,862,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37098.085000005085,811,915,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37151.58500004327,1038,814,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37197.87999999244,956,808,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37258.78999999259,830,896,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37310.21000002511,1103,769,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37366.08000000706,1176,791,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37415.71000003023,1134,793,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37469.470000010915,1067,896,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37527.99500001129,1168,789,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37581.05000003707,1322,870,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37631.150000030175,1157,855,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37680.35999999847,1240,787,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37731.36000003433,1256,780,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37781.14000003552,1292,726,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37849.60499999579,1075,861,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
37931.414999999106,1322,748,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
38002.310000010766,1233,735,446.5,0,385.125,1027,446.5,641.875,385.125,1027,7,8
38047.85500001162,1450,781,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38103.59499999322,1385,781,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38159.58000003593,1312,780,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38214.70000001136,1206,780,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38281.85500000836,1279,695,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38348.53000001749,1286,631,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38414.41000002669,1253,608,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38482.095000043046,1633,604,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38551.834999991115,1577,703,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38634.36000002548,1372,810,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38681.3850000035,1398,831,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38733.97500003921,1558,748,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38852.97000000719,1569,725,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38929.73500001244,1483,852,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
38981.83500004234,1622,680,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39049.95000001509,1496,720,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39115.285000007134,1658,715,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39157.7249999973,1531,679,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39194.98000002932,1644,686,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39232.14000003645,1563,661,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39273.82500004023,1540,659,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39308.02500003483,1759,699,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39347.20000001835,1592,734,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39387.22500001313,1642,775,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39422.85999999149,1597,763,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39456.81500004139,1695,710,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39494.85499999719,1729,576,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39532.110000029206,1721,644,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39570.76000003144,1429,667,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39606.54499998782,1405,771,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39648.14500004286,1401,819,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39691.38000003295,1332,868,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
39725.54000001401,1442,780,446.5,0,385.125,1027,446.5,641.875,385.125,1027,9,8
